Group,Subgroup,Week,Time Period Label,Time Period Start Date,Time Period End Date,Value
,Bachelors degree or higher,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,47.9
age,18 - 29 years,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,39.8
age,30 - 39 years,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,45.1
age,40 - 49 years,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,47.6
age,50 - 59 years,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,47.2
age,60 - 69 years,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,45.2
age,70 - 79 years,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,41.2
age,80 years and above,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.9
gender,Male,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,39.5
gender,Female,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,49.2
race,Hispanic or Latino,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,44.5
race,"Non-Hispanic White, single race",6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,44.5
race,"Non-Hispanic Black, single race",6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,43.8
race,"Non-Hispanic Asian, single race",6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,37.2
race,"Non-Hispanic, other races and multiple races",6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,54.6
education,Less than a high school diploma,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,40.8
education,High school diploma or GED,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,40.2
education,Some college/Associates degree,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,47.5
education,Bachelors degree or higher,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,46.5
,18 - 29 years,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,40.9
,30 - 39 years,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,45.6
,40 - 49 years,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,47.1
,50 - 59 years,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,47.1
,60 - 69 years,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,46.5
,70 - 79 years,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,40.7
,80 years and above,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,41.2
,Male,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,41
,Female,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,48.6
,Hispanic or Latino,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,42.3
,"Non-Hispanic White, single race",7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,45.7
,"Non-Hispanic Black, single race",7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,43.5
,"Non-Hispanic Asian, single race",7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,40.2
,"Non-Hispanic, other races and multiple races",7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,53.5
,Less than a high school diploma,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,34.1
,High school diploma or GED,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,39.9
